eod_ts,Dp,Ex,Mc,Rs,Ra,Os,Cs,Rp,Rm,Dc,La,Pf,Cp,Ds,fcal_ts,lcal_ts
2018-01-22 22:00:00,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,5.5373661163990855,0.0,0.2976190476190476,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-01-23 22:00:00,0.06666666666666668,0.05555555555555556,0.0,10.0,9.526929308013104,9.8125,7.382352941176472,0.0,0.0,0.0,0.0,7.3601896044035975,1.8704977945668368,0.5952818425274425,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-01-24 22:00:00,0.13333333333333333,0.11111111111111112,0.0,10.0,7.2600079382717455,9.765333333333334,9.7,0.0,0.0,0.0,0.0,8.193970384383988,4.728606651202695,0.8930600045537594,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-01-25 22:00:00,0.2,0.16666666666666669,0.0,10.0,8.53481626236146,9.57808219178082,9.46875,0.0,0.0,0.0,0.0,6.424389448790968,2.0074862807337377,1.1908288610162645,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-01-26 22:00:00,0.26666666666666666,0.22222222222222224,0.0,10.0,9.504333032169972,9.222049689440992,9.314528397565924,0.0,0.0,0.0,0.0,8.244178612989383,1.4115766019780578,1.4888644415248902,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-01-29 22:00:00,0.3333333333333333,0.2777777777777778,0.0,10.0,9.588239356857338,9.142523364485983,9.527297560975608,0.0,0.0,0.0,0.0,9.450304576665195,1.3541503958548085,1.7873952743935504,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-01-30 22:00:00,0.4,0.33333333333333337,0.0,10.0,9.608843967730452,9.317830267558527,9.58989090909091,0.0,0.0,0.0,0.0,9.533786154014956,1.1974153929871378,2.0863051417256333,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-01-31 22:00:00,0.4666666666666667,0.3888888888888889,0.0,10.0,9.61021892599949,9.270760173517868,9.560612765957448,0.0,0.0,0.0,0.0,9.538522650217793,1.1655312541911542,2.3855867753979485,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-02-01 22:00:00,0.5333333333333333,0.4444444444444445,9.88544145476099,10.0,9.628136521878512,9.25646595271772,9.5436,7.746706696152179,5.2196101831858455,6.501775762215452,2.564742602530224,9.507263121728675,1.1997583586776202,2.6851730700108067,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-02-02 22:00:00,0.6,0.5,9.716274430439846,9.823266461311338,9.689938319052796,9.535125758889851,9.600945230885408,7.726966554662952,5.210181312084695,6.3988021698091915,2.331074696515367,9.723193628992435,1.2358385206533873,2.9854115937963015,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-02-05 22:00:00,0.6666666666666666,0.5555555555555556,9.688271116466392,9.661160387299942,9.762807675919053,9.501771599890978,9.615043499936165,7.568782519854282,5.2478206282787365,6.1617402426610335,3.2001062409790317,9.916332044795405,1.2197810887179141,3.286623161571144,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-02-06 22:00:00,0.7333333333333333,0.6111111111111109,9.674774404659198,9.410371013709897,9.811441000776863,9.41142473272296,9.606064289055604,7.475552959370548,5.228860993777302,6.346072759279657,3.2069091120893103,9.874977398790694,1.2538461847856204,3.588280705338549,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-02-07 22:00:00,0.8,0.6666666666666667,9.739695949084863,8.939238887794904,9.835276183755498,9.35271670741813,9.621846339212906,7.511476185147679,5.228860993777302,6.4037709908860405,3.1773755150007736,9.976264516875226,1.1744936286638594,3.8912321492759783,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-02-08 22:00:00,0.8666666666666667,0.7222222222222223,9.762963012935222,8.454491919501232,9.845838594313472,9.253961267605632,9.609069212980318,7.5161197490068705,5.200036686382122,6.4025990579774845,3.2119728732719914,9.949326782059103,1.1881323333458331,4.1946119190301285,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-02-09 22:00:00,0.9333333333333332,0.7777777777777778,9.784175032306427,7.798818332255138,9.86577915810074,9.404888416578107,9.63968957871397,7.441653252739898,5.209627228108282,6.39302958694302,3.403853164394881,9.990829212278252,1.1860156352948847,4.4994155526388635,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-02-12 22:00:00,1.0,0.8333333333333334,9.840984714237027,7.020949286895927,9.873824071082977,9.420567455964903,9.662781373261113,7.462429030228066,5.214516214758683,6.386071075474953,3.4915786650368386,9.986864706094533,1.241104836861152,4.80490958599041,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-02-13 22:00:00,1.042324484033868,0.8686037366948901,9.868065867557343,6.490526900781225,9.88205186065295,9.422871392946208,9.634604398009897,7.482259720811669,5.250655149886304,6.419278436441712,3.5697654346875134,9.990597525078806,1.2346008890509774,5.111256266181386,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-02-14 22:00:00,1.0802273661112505,0.9001894717593755,9.870342514588653,6.020538817411404,9.886707488308515,9.465609118507533,9.621552534782342,7.501897560849464,5.2748575743331605,6.441225332275376,3.664892363186993,9.988252579060436,1.2444250273658013,5.418360246939371,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
2018-02-15 22:00:00,1.1045302041568492,0.9204418367973743,9.87255160972256,5.638363744434953,9.891851268474367,9.479773789601246,9.625463468782204,7.529163667831992,5.2748575743331605,6.461771091001081,3.717215648094761,9.992569025246919,1.2595890170646276,5.726531259351085,2018-08-12 00:32:51.000,2020-08-24 16:37:29.050
